Fiscal Year,Town Code,Municipality,Total Consideration for Taxable Conveyances,Total Amount Due,Consideration for Unimproved Land,Tax on Unimproved Land,Total Consideration for Residential Dwelling,Consideration for Residential Dwelling Under Threshold,Tax on Consideration Under Threshold Residential Dwelling,Consideration for Residential Dwelling Over Threshold,Tax on Consideration Over Threshold Residential Dwelling,Consideration for Residential Dwelling Between $800k-$2.5M,Tax on Consideration Between $800k-$2.5M Residential Dwelling,Consideration for Residential Dwelling Over $2.5M Threshold,Tax on Consideration Over $2.5M Threshold Residential Dwelling,Residential Property Other Than Dwelling,Tax on Residential Property Other Than Dwelling,Nonresidential Property Other Than Unimproved Land,Tax on Nonresidential Property Other Than Unimproved Land,Delinquent Mortgage Conveyance,Tax on Delinquent Mortgagor,Number of Taxable Conveyances,Number of Non-Taxable and Exempt Conveyances
FY 2017-18,056,GRANBY (056),65897610.00,508482.00,1481450.00,11111.00,56166160.00,56166160.00,421246.00,0,0,,,,,5400000.00,40500.00,2850000.00,35625.00,0.00,0.00,208,110
FY 2017-18,057,GREENWICH (057),1968106093.00,21061110.00,27762306.00,208217.00,1793040337.00,652872166.00,4896541.00,1140168171,14252102,,,,,27408692.00,205565.00,119894758.00,1498684.00,0.00,0.00,939,554
FY 2017-18,058,GRISWOLD (058),36373596.00,299384.00,1018866.00,7641.00,29315230.00,29315230.00,219864.00,0,0,,,,,723000.00,5423.00,5316500.00,66456.00,0.00,0.00,186,174
FY 2017-18,059,GROTON (059),168150339.00,1334255.00,1886000.00,14145.00,131612676.00,128727676.00,965458.00,2885000,36063,,,,,22612600.00,169595.00,11740403.00,146755.00,298661.00,2240.00,549,343
FY 2017-18,060,GUILFORD (060),162643592.00,1272238.00,4269500.00,32021.00,156812178.00,147630826.00,1107231.00,9181352,114767,,,,,261014.00,1958.00,1300900.00,16261.00,0.00,0.00,407,287
FY 2017-18,061,HADDAM (061),33294727.00,250325.00,2061200.00,15459.00,31110661.00,31110661.00,233330.00,0,0,,,,,0.00,0.00,122866.00,1536.00,0.00,0.00,125,73
FY 2017-18,062,HAMDEN (062),265396890.00,2106018.00,3943450.00,29576.00,163744951.00,162474950.00,1218562.00,1270000,15875,,,,,75870139.00,569026.00,21838350.00,272979.00,0.00,0.00,894,531
FY 2017-18,063,HAMPTON (063),6235500.00,46766.00,130000.00,975.00,6105500.00,6105500.00,45791.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,31,34
FY 2017-18,064,HARTFORD (064),241795051.00,2080299.00,1793973.00,13455.00,109632843.00,108552843.00,814146.00,1080000,13500,,,,,78081085.00,585608.00,52287149.00,653589.00,0.00,0.00,809,535
FY 2017-18,065,HARTLAND (065),4994490.00,37459.00,525100.00,3938.00,4469390.00,4469390.00,33520.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,25,31
FY 2017-18,066,HARWINTON (066),16982929.00,129797.00,2016085.00,15121.00,14481844.00,14481844.00,108614.00,0,0,,,,,0.00,0.00,485000.00,6063.00,0.00,0.00,75,61
FY 2017-18,067,HEBRON (067),42902317.00,322467.00,673500.00,5051.00,41921317.00,41921317.00,314410.00,0,0,,,,,167500.00,1256.00,140000.00,1750.00,0.00,0.00,167,77
FY 2017-18,068,KENT (068),36846850.00,346551.00,1511180.00,11334.00,32890670.00,21295670.00,159718.00,11595000,144938,,,,,0.00,0.00,2445000.00,30563.00,0.00,0.00,60,41
FY 2017-18,069,KILLINGLY (069),75173558.00,592775.00,4211106.00,31583.00,64613324.00,64613324.00,484600.00,0,0,,,,,554500.00,4159.00,5794628.00,72433.00,0.00,0.00,384,248
FY 2017-18,070,KILLINGWORTH (070),38261450.00,289361.00,1938054.00,14535.00,36093396.00,35843396.00,268825.00,250000,3125,,,,,0.00,0.00,230000.00,2875.00,0.00,0.00,135,46
FY 2017-18,071,LEBANON (071),29735162.00,224264.00,509455.00,3821.00,28930707.00,28930707.00,216980.00,0,0,,,,,45000.00,338.00,250000.00,3125.00,0.00,0.00,147,105
FY 2017-18,072,LEDYARD (072),68103855.00,518478.00,6305400.00,47291.00,59883555.00,59883555.00,449127.00,0,0,,,,,375000.00,2813.00,1539900.00,19249.00,0.00,0.00,307,140
FY 2017-18,073,LISBON (073),13122318.00,101667.00,995500.00,7466.00,11476818.00,11476818.00,86076.00,0,0,,,,,0.00,0.00,650000.00,8125.00,0.00,0.00,70,55
FY 2017-18,074,LITCHFIELD (074),49204080.00,393356.00,3058205.00,22937.00,42875771.00,41280771.00,309606.00,1595000,19938,,,,,0.00,0.00,3270104.00,40876.00,0.00,0.00,165,110
FY 2017-18,075,LYME (075),26190100.00,206575.00,2467000.00,18503.00,23718200.00,21693200.00,162699.00,2025000,25313,,,,,0.00,0.00,4900.00,61.00,0.00,0.00,60,47
FY 2017-18,076,MADISON (076),178445355.00,1432698.00,6311470.00,47336.00,168299685.00,152419846.00,1143149.00,15879839,198498,,,,,842500.00,6319.00,2991700.00,37396.00,0.00,0.00,378,241
FY 2017-18,077,MANCHESTER (077),269764203.00,2570509.00,5808265.00,43562.00,142945352.00,142945352.00,1072090.00,0,0,,,,,11555000.00,86663.00,109455586.00,1368195.00,0.00,0.00,859,454
FY 2017-18,078,MANSFIELD (078),74311852.00,665059.00,1763375.00,13225.00,44927477.00,44927477.00,336956.00,0,0,,,,,6077000.00,45578.00,21544000.00,269300.00,0.00,0.00,231,163
FY 2017-18,079,MARLBOROUGH (079),27967474.00,227671.00,1348900.00,10117.00,23510674.00,23035674.00,172768.00,475000,5938,,,,,0.00,0.00,3107900.00,38849.00,0.00,0.00,98,60
FY 2017-18,080,MERIDEN (080),144923629.00,1166489.00,4163189.00,31224.00,117833040.00,117833040.00,883748.00,0,0,,,,,7015000.00,52613.00,15912400.00,198905.00,0.00,0.00,829,601
FY 2017-18,081,MIDDLEBURY (081),49425198.00,378164.00,2270400.00,17028.00,46194798.00,45659798.00,342448.00,535000,6688,,,,,0.00,0.00,960000.00,12000.00,0.00,0.00,142,76
FY 2017-18,082,MIDDLEFIELD (082),21317549.00,166908.00,374410.00,2808.00,19787839.00,19537839.00,146534.00,250000,3125,,,,,0.00,0.00,1155300.00,14441.00,0.00,0.00,79,50
FY 2017-18,083,MIDDLETOWN (083),200736894.00,1573025.00,3154100.00,23656.00,115474917.00,115474917.00,866062.00,0,0,,,,,68608252.00,514562.00,13499625.00,168745.00,0.00,0.00,660,405
FY 2017-18,084,MILFORD (084),385951051.00,3179615.00,8727001.00,65453.00,272456352.00,269283029.00,2019623.00,3173323,39667,,,,,50944500.00,382084.00,53823198.00,672790.00,0.00,0.00,990,555
FY 2017-18,085,MONROE (085),110422406.00,875380.00,6033745.00,45253.00,92029405.00,91511405.00,686336.00,518000,6475,,,,,0.00,0.00,8924390.00,111555.00,3434866.00,25761.00,296,169
FY 2017-18,086,MONTVILLE (086),78072204.00,648802.00,14784505.00,110884.00,48573949.00,48573949.00,364305.00,0,0,,,,,2061750.00,15463.00,12652000.00,158150.00,0.00,0.00,287,229
FY 2017-18,087,MORRIS (087),16823856.00,142414.00,362000.00,2715.00,16404856.00,13214856.00,99111.00,3190000,39875,,,,,0.00,0.00,57000.00,713.00,0.00,0.00,39,30
FY 2017-18,088,NAUGATUCK (088),69530831.00,549366.00,2526710.00,18950.00,61029044.00,61029044.00,457718.00,0,0,,,,,398077.00,2986.00,5577000.00,69713.00,0.00,0.00,431,312
FY 2017-18,089,NEW BRITAIN (089),158158237.00,1333120.00,5785365.00,43390.00,106855292.00,106845292.00,801340.00,10000,125,,,,,16140885.00,121057.00,29376695.00,367209.00,0.00,0.00,812,543
FY 2017-18,090,NEW CANAAN (090),487276418.00,4910163.00,6492100.00,48691.00,463488318.00,227836328.00,1708772.00,235651989,2945650,,,,,1830000.00,13725.00,15466000.00,193325.00,0.00,0.00,332,173
FY 2017-18,091,NEW FAIRFIELD (091),88693994.00,708372.00,3580139.00,26851.00,84533855.00,76350355.00,572628.00,8183500,102294,,,,,130000.00,975.00,450000.00,5625.00,0.00,0.00,232,157
FY 2017-18,092,NEW HARTFORD (092),25515985.00,191370.00,731600.00,5487.00,24770385.00,24770385.00,185778.00,0,0,,,,,14000.00,105.00,0.00,0.00,0.00,0.00,109,67
FY 2017-18,093,NEW HAVEN (093),405426806.00,3696726.00,6553229.00,49149.00,189193485.00,183375035.00,1375313.00,5818450,72731,,,,,84293624.00,632202.00,125386468.00,1567331.00,0.00,0.00,898,956
FY 2017-18,094,NEWINGTON (094),128296300.00,1133816.00,2075375.00,15565.00,91641781.00,91641781.00,687313.00,0,0,,,,,91000.00,683.00,34318834.00,428985.00,169310.00,1270.00,469,287
FY 2017-18,095,NEW LONDON (095),68224674.00,575758.00,1166087.00,8746.00,42918350.00,42795826.00,320969.00,122524,1532,,,,,11412237.00,85592.00,12692000.00,158650.00,36000.00,270.00,307,256
FY 2017-18,096,NEW MILFORD (096),151955456.00,1280176.00,4659802.00,34949.00,120337091.00,117183591.00,878877.00,3153500,39419,,,,,2010000.00,15075.00,24948564.00,311857.00,0.00,0.00,510,305
FY 2017-18,097,NEWTOWN (097),201556414.00,1560077.00,7427673.00,55708.00,180418041.00,175658041.00,1317435.00,4760000,59500,,,,,8790000.00,65925.00,4920700.00,61509.00,0.00,0.00,508,248
FY 2017-18,098,NORFOLK (098),14308381.00,114219.00,457500.00,3431.00,13694800.00,12469700.00,93523.00,1225100,15314,,,,,0.00,0.00,156081.00,1951.00,0.00,0.00,41,40
FY 2017-18,099,NORTH BRANFORD (099),46839483.00,358846.00,2437387.00,18280.00,42892096.00,42892096.00,321691.00,0,0,,,,,0.00,0.00,1510000.00,18875.00,0.00,0.00,184,152
FY 2017-18,100,NORTH CANAAN (100),8936933.00,70597.00,510000.00,3825.00,8162933.00,7712933.00,57847.00,450000,5625,,,,,0.00,0.00,264000.00,3300.00,0.00,0.00,46,28
FY 2017-18,101,NORTH HAVEN (101),139416795.00,1209539.00,10788684.00,80915.00,86460961.00,86350961.00,647632.00,110000,1375,,,,,9494525.00,71209.00,32672625.00,408408.00,0.00,0.00,346,223
FY 2017-18,102,NORTH STONINGTON (102),24944731.00,199440.00,2435650.00,18267.00,20263081.00,20038081.00,150286.00,225000,2813,,,,,0.00,0.00,2246000.00,28075.00,0.00,0.00,101,71
FY 2017-18,103,NORWALK (103),789972765.00,7222849.00,11727465.00,87956.00,539011121.00,470745893.00,3530594.00,68265228,853315,,,,,29627350.00,222205.00,191345327.00,2391817.00,18261503.00,136961.00,1229,588
FY 2017-18,104,NORWICH (104),95177297.00,752768.00,2073300.00,15550.00,68861934.00,68861934.00,516465.00,0,0,,,,,16454500.00,123409.00,7787563.00,97345.00,0.00,0.00,570,437
FY 2017-18,105,OLD LYME (105),71716050.00,545670.00,1581000.00,11858.00,69375050.00,68575050.00,514313.00,800000,10000,,,,,0.00,0.00,760000.00,9500.00,0.00,0.00,204,173
FY 2017-18,106,OLD SAYBROOK (106),139196603.00,1230087.00,1532700.00,11495.00,125498728.00,99541392.00,746560.00,25957336,324467,,,,,900000.00,6750.00,11265175.00,140815.00,0.00,0.00,280,189
FY 2017-18,107,ORANGE (107),114046881.00,1020905.00,4031625.00,30237.00,81076656.00,76904580.00,576784.00,4172076,52151,,,,,0.00,0.00,28938600.00,361733.00,0.00,0.00,210,123
FY 2017-18,108,OXFORD (108),72991020.00,580713.00,4704450.00,35283.00,62380570.00,61630570.00,462229.00,750000,9375,,,,,0.00,0.00,5906000.00,73825.00,0.00,0.00,202,143
FY 2017-18,109,PLAINFIELD (109),98080832.00,1007291.00,4970449.00,37278.00,38742383.00,38742383.00,290568.00,0,0,,,,,31000.00,233.00,54337000.00,679213.00,0.00,0.00,279,197
FY 2017-18,110,PLAINVILLE (110),60814406.00,487471.00,3287400.00,24656.00,49557331.00,49557331.00,371680.00,0,0,,,,,1697000.00,12728.00,6272675.00,78408.00,0.00,0.00,312,183
FY 2017-18,111,PLYMOUTH (111),37373188.00,295011.00,1857599.00,13932.00,32673104.00,32573104.00,244298.00,100000,1250,,,,,0.00,0.00,2842485.00,35531.00,0.00,0.00,215,150
FY 2017-18,112,POMFRET (112),19474776.00,147038.00,1886000.00,14145.00,17393392.00,17393392.00,130450.00,0,0,,,,,0.00,0.00,195384.00,2442.00,0.00,0.00,76,61
FY 2017-18,113,PORTLAND (113),45803109.00,366228.00,3049226.00,22869.00,38212883.00,38212883.00,286597.00,0,0,,,,,0.00,0.00,4541000.00,56763.00,0.00,0.00,189,117
FY 2017-18,114,PRESTON (114),21401196.00,161060.00,1388720.00,10415.00,19902276.00,19902276.00,149267.00,0,0,,,,,0.00,0.00,110200.00,1378.00,0.00,0.00,113,91
FY 2017-18,115,PROSPECT (115),43365012.00,326200.00,1256000.00,9420.00,41916512.00,41916512.00,314374.00,0,0,,,,,0.00,0.00,192500.00,2406.00,0.00,0.00,164,101
FY 2017-18,116,PUTNAM (116),34293490.00,272663.00,2392671.00,17945.00,26652109.00,26652109.00,199891.00,0,0,,,,,2080000.00,15600.00,3092400.00,38655.00,76309.00,572.00,194,121
FY 2017-18,117,REDDING (117),64576495.00,516672.00,1791300.00,13435.00,58936095.00,56315596.00,422367.00,2620499,32756,,,,,0.00,0.00,3849100.00,48114.00,0.00,0.00,120,72
FY 2017-18,118,RIDGEFIELD (118),307595512.00,2535696.00,10812110.00,81091.00,284274902.00,251024921.00,1882687.00,33249982,415625,,,,,12500.00,94.00,12496000.00,156200.00,0.00,0.00,458,217
FY 2017-18,119,ROCKY HILL (119),76396281.00,617273.00,1109900.00,8324.00,66546176.00,66290707.00,497180.00,255469,3193,,,,,0.00,0.00,8604740.00,107559.00,135465.00,1016.00,298,168
FY 2017-18,120,ROXBURY (120),33255548.00,300641.00,2747900.00,20609.00,30507648.00,20262818.00,151971.00,10244830,128060,,,,,0.00,0.00,0.00,0.00,0.00,0.00,47,50
FY 2017-18,121,SALEM (121),23923040.00,190073.00,781000.00,5858.00,21697040.00,20947040.00,157103.00,750000,9375,,,,,65000.00,488.00,1380000.00,17250.00,0.00,0.00,95,48
FY 2017-18,122,SALISBURY (122),59549455.00,508224.00,5975000.00,44813.00,51345558.00,40864869.00,306487.00,10480689,131009,,,,,388897.00,2917.00,1840000.00,23000.00,0.00,0.00,110,59
FY 2017-18,123,SCOTLAND (123),2936841.00,22026.00,84941.00,637.00,2851900.00,2851900.00,21389.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,17,14
FY 2017-18,124,SEYMOUR (124),61344587.00,480559.00,838000.00,6285.00,55911587.00,55911587.00,419337.00,0,0,,,,,500000.00,3750.00,4095000.00,51188.00,0.00,0.00,264,180
FY 2017-18,125,SHARON (125),42637973.00,390444.00,2245000.00,16838.00,36149811.00,25941201.00,194559.00,10208610,127608,,,,,320000.00,2400.00,3923162.00,49040.00,0.00,0.00,72,40
FY 2017-18,126,SHELTON (126),281890437.00,2321143.00,6112750.00,45846.00,201650687.00,201115687.00,1508368.00,535000,6688,,,,,33269000.00,249518.00,40858000.00,510725.00,0.00,0.00,660,342
FY 2017-18,127,SHERMAN (127),41536884.00,349257.00,523190.00,3924.00,39663694.00,33467534.00,251007.00,6196160,77452,,,,,0.00,0.00,1350000.00,16875.00,0.00,0.00,81,53
FY 2017-18,128,SIMSBURY (128),170860250.00,1302377.00,2092000.00,15690.00,144280425.00,142785425.00,1070891.00,1495000,18688,,,,,21797825.00,163484.00,2690000.00,33625.00,0.00,0.00,454,184
FY 2017-18,129,SOMERS (129),43808808.00,339121.00,1445806.00,10844.00,41398502.00,39849502.00,298871.00,1549000,19363,,,,,402500.00,3019.00,562000.00,7025.00,0.00,0.00,154,77
FY 2017-18,130,SOUTHBURY (130),120617958.00,921436.00,2859915.00,21449.00,114490543.00,114217793.00,856633.00,272750,3409,,,,,180000.00,1350.00,3087500.00,38594.00,0.00,0.00,475,239
FY 2017-18,131,SOUTHINGTON (131),207768575.00,1656579.00,4666314.00,34997.00,184610261.00,183060258.00,1372952.00,1550003,19375,,,,,379000.00,2843.00,18113000.00,226413.00,0.00,0.00,732,531
FY 2017-18,132,SOUTH WINDSOR (132),164455475.00,1470890.00,8546743.00,64101.00,108496498.00,108408847.00,813066.00,87651,1096,,,,,5000.00,38.00,47407235.00,592590.00,0.00,0.00,461,241
FY 2017-18,133,SPRAGUE (133),5815200.00,43614.00,0.00,0.00,5815200.00,5815200.00,43614.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,29,29
FY 2017-18,134,STAFFORD (134),32591911.00,251053.00,1148318.00,8612.00,30046893.00,30046893.00,225352.00,0,0,,,,,74000.00,555.00,1322700.00,16534.00,0.00,0.00,224,170
FY 2017-18,135,STAMFORD (135),1139532024.00,9890763.00,29282549.00,219619.00,750359802.00,702083452.00,5265626.00,48276350,603454,,,,,139311088.00,1044833.00,220578300.00,2757229.00,285.00,2.00,1638,866
FY 2017-18,136,STERLING (136),15896172.00,128471.00,419000.00,3143.00,15477172.00,13627172.00,102204.00,1850000,23125,,,,,0.00,0.00,0.00,0.00,0.00,0.00,85,50
FY 2017-18,137,STONINGTON (137),174001162.00,1519024.00,8426875.00,63202.00,141562236.00,122210764.00,916581.00,19351472,241893,,,,,343250.00,2574.00,23451501.00,293144.00,217300.00,1630.00,410,267
FY 2017-18,138,STRATFORD (138),293326178.00,2619164.00,6585061.00,49388.00,203448576.00,202308576.00,1517314.00,1140000,14250,,,,,588926.00,4417.00,82703615.00,1033795.00,0.00,0.00,921,548
FY 2017-18,139,SUFFIELD (139),75159003.00,574068.00,5681058.00,42608.00,67736944.00,67101944.00,503265.00,635000,7938,,,,,301000.00,2258.00,1440000.00,18000.00,0.00,0.00,248,173
FY 2017-18,140,THOMASTON (140),21914401.00,187408.00,96200.00,722.00,16850676.00,16850676.00,126380.00,0,0,,,,,215000.00,1613.00,4610000.00,57625.00,142525.00,1069.00,103,72
FY 2017-18,141,THOMPSON (141),38946627.00,301225.00,5550000.00,41625.00,31571627.00,31571627.00,236787.00,0,0,,,,,0.00,0.00,1825000.00,22813.00,0.00,0.00,184,142
FY 2017-18,142,TOLLAND (142),56013656.00,434302.00,3107325.00,23305.00,49929331.00,49929331.00,374470.00,0,0,,,,,137000.00,1028.00,2840000.00,35500.00,0.00,0.00,213,128
FY 2017-18,143,TORRINGTON (143),84829117.00,687232.00,3286135.00,24646.00,70800273.00,70800273.00,531002.00,0,0,,,,,539900.00,4049.00,10202808.00,127535.00,0.00,0.00,592,424
FY 2017-18,144,TRUMBULL (144),229835529.00,1824754.00,8117200.00,60879.00,202257853.00,201287953.00,1509660.00,969900,12124,,,,,1.00,0.00,19227610.00,240345.00,232865.00,1746.00,551,306
FY 2017-18,145,UNION (145),7039867.00,57174.00,798967.00,5992.00,6090900.00,5365900.00,40244.00,725000,9063,,,,,0.00,0.00,150000.00,1875.00,0.00,0.00,27,21
FY 2017-18,146,VERNON (146),90209534.00,749928.00,995144.00,7464.00,73928138.00,73928138.00,554461.00,0,0,,,,,516981.00,3877.00,14671200.00,183390.00,98071.00,736.00,439,239
FY 2017-18,147,VOLUNTOWN (147),7077651.00,53082.00,216951.00,1627.00,6733700.00,6733700.00,50503.00,0,0,,,,,127000.00,953.00,0.00,0.00,0.00,0.00,42,41
FY 2017-18,148,WALLINGFORD (148),221731753.00,1896227.00,4673300.00,35050.00,151745753.00,150816867.00,1131127.00,928886,11611,,,,,19593800.00,146954.00,45718900.00,571486.00,0.00,0.00,679,420
FY 2017-18,149,WARREN (149),24187363.00,239020.00,2304630.00,17285.00,20782733.00,9259733.00,69448.00,11523000,144038,,,,,1100000.00,8250.00,0.00,0.00,0.00,0.00,28,22
FY 2017-18,150,WASHINGTON (150),57563974.00,525842.00,4227747.00,31708.00,53336227.00,34513727.00,258853.00,18822500,235281,,,,,0.00,0.00,0.00,0.00,0.00,0.00,85,78
FY 2017-18,151,WATERBURY (151),206081417.00,1889350.00,5067028.00,38003.00,133266208.00,129671710.00,972538.00,3594499,44931,,,,,2506099.00,18796.00,65153390.00,814417.00,88692.00,665.00,1275,1105
FY 2017-18,152,WATERFORD (152),98302834.00,772892.00,2611410.00,19586.00,88369824.00,87919824.00,659399.00,450000,5625,,,,,647500.00,4856.00,6674100.00,83426.00,0.00,0.00,389,270
FY 2017-18,153,WATERTOWN (153),83160848.00,659561.00,3857300.00,28930.00,72168548.00,72132548.00,540994.00,36000,450,,,,,0.00,0.00,7135000.00,89188.00,0.00,0.00,359,251
FY 2017-18,154,WESTBROOK (154),57543383.00,490193.00,845000.00,6338.00,48019923.00,44221673.00,331663.00,3798250,47478,,,,,753150.00,5649.00,7925310.00,99066.00,0.00,0.00,180,264
FY 2017-18,155,WEST HARTFORD (155),336511046.00,2599863.00,2394987.00,17962.00,317414577.00,312605077.00,2344538.00,4809500,60119,,,,,6305000.00,47288.00,10396482.00,129956.00,0.00,0.00,986,461
FY 2017-18,156,WEST HAVEN (156),137473193.00,1073199.00,10927716.00,81958.00,113918267.00,112820767.00,846156.00,1097500,13719,,,,,5081000.00,38108.00,7332500.00,91656.00,213710.00,1603.00,670,452
FY 2017-18,157,WESTON (157),116904151.00,968122.00,1223500.00,9176.00,112353481.00,94085370.00,705640.00,18268111,228351,,,,,0.00,0.00,0.00,0.00,3327170.00,24954.00,150,88
FY 2017-18,158,WESTPORT (158),760683967.00,7640336.00,13205203.00,99039.00,674283764.00,357187605.00,2678907.00,317096159,3963702,,,,,3250000.00,24375.00,69945000.00,874313.00,0.00,0.00,518,281
FY 2017-18,159,WETHERSFIELD (159),124007576.00,1016207.00,3484000.00,26130.00,101533575.00,101533575.00,761502.00,0,0,,,,,1760000.00,13200.00,17230001.00,215375.00,0.00,0.00,458,277
FY 2017-18,160,WILLINGTON (160),24320619.00,184367.00,1003457.00,7526.00,10086798.00,10086798.00,75651.00,0,0,,,,,12837864.00,96284.00,392500.00,4906.00,0.00,0.00,68,56
FY 2017-18,161,WILTON (161),196644833.00,1716834.00,2995500.00,22466.00,177394410.00,144749767.00,1085623.00,32644643,408058,,,,,500000.00,3750.00,15754923.00,196937.00,0.00,0.00,248,131
FY 2017-18,162,WINCHESTER (162),29764072.00,230591.00,1578100.00,11836.00,25855972.00,25855972.00,193920.00,0,0,,,,,858000.00,6435.00,1472000.00,18400.00,0.00,0.00,160,112
FY 2017-18,163,WINDHAM (163),43355204.00,380156.00,559808.00,4199.00,31465976.00,31465976.00,235995.00,0,0,,,,,331000.00,2483.00,10998420.00,137480.00,0.00,0.00,255,167
FY 2017-18,164,WINDSOR (164),132829275.00,1203282.00,2937400.00,22031.00,88039357.00,88039357.00,660295.00,0,0,,,,,440000.00,3300.00,41412518.00,517656.00,0.00,0.00,451,255
FY 2017-18,165,WINDSOR LOCKS (165),98491341.00,1039762.00,988392.00,7413.00,37094492.00,37094492.00,278209.00,0,0,,,,,0.00,0.00,60215486.00,752694.00,192972.00,1447.00,228,126
FY 2017-18,166,WOLCOTT (166),46822917.00,369097.00,955879.00,7169.00,42282113.00,42282113.00,317116.00,0,0,,,,,0.00,0.00,3584925.00,44812.00,0.00,0.00,207,192
FY 2017-18,167,WOODBRIDGE (167),48411222.00,369430.00,1535000.00,11513.00,45837130.00,45607130.00,342053.00,230000,2875,,,,,0.00,0.00,1039092.00,12989.00,0.00,0.00,124,82
FY 2017-18,168,WOODBURY (168),48273082.00,378486.00,2716413.00,20373.00,43534818.00,41520898.00,311407.00,2013920,25174,,,,,748201.00,5612.00,1273650.00,15921.00,0.00,0.00,166,104
FY 2017-18,169,WOODSTOCK (169),48257683.00,372030.00,1545933.00,11594.00,45242350.00,44692350.00,335193.00,550000,6875,,,,,0.00,0.00,1469400.00,18368.00,0.00,0.00,204,119
FY 2017-18,,TOWN UNKNOWN,41428954.00,338477.00,683500.00,5126.00,38745453.00,35193453.00,263951.00,3552000,44400,,,,,0.00,0.00,2000001.00,25000.00,0.00,0.00,136,83
FY 2017-18,,ALL MUNICIPALITIES,21053727611.00,183480574.00,579744060.00,4348080.00,16815621696.00,14217212746.00,106629096.00,2598408950,32480112,,,,,1113208506.00,8349064.00,2517114447.00,31463931.00,28038901.00,210292.00,53983,33809
FY 2016-17,001,ANDOVER (001),9937112.00,74528.00,666800.00,5001.00,9270312.00,9270312.00,69527.00,0,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,41,41
FY 2016-17,002,ANSONIA (002),47835175.00,406619.00,1395130.00,10463.00,36643729.00,36643729.00,274828.00,0,0,,,,,15000.00,113.00,9571000.00,119638.00,210316.00,1577.00,229,173
FY 2016-17,003,ASHFORD (003),16281229.00,124534.00,753500.00,5651.00,11671300.00,11671300.00,87535.00,0,0,,,,,3371429.00,25286.00,485000.00,6063.00,0.00,0.00,72,38
FY 2016-17,004,AVON (004),165146721.00,1330711.00,4692700.00,35195.00,148394021.00,140151865.00,1051139.00,8242156,103027,,,,,1880000.00,14100.00,10180000.00,127250.00,0.00,0.00,386,214
FY 2016-17,005,BARKHAMSTED (005),10220700.00,77850.00,850750.00,6381.00,9130950.00,9130950.00,68482.00,0,0,,,,,0.00,0.00,239000.00,2988.00,0.00,0.00,42,26
FY 2016-17,006,BEACON FALLS (006),25957598.00,195257.00,153500.00,1151.00,25804098.00,25689098.00,192668.00,115000,1438,,,,,0.00,0.00,0.00,0.00,0.00,0.00,98,69
FY 2016-17,007,BERLIN (007),76616581.00,623401.00,1659174.00,12444.00,64587157.00,64587157.00,484404.00,0,0,,,,,615000.00,4613.00,9755250.00,121941.00,0.00,0.00,287,223
FY 2016-17,008,BETHANY (008),27791629.00,218969.00,1257095.00,9428.00,24648129.00,24428129.00,183211.00,220000,2750,,,,,0.00,0.00,1886405.00,23580.00,0.00,0.00,87,70
FY 2016-17,009,BETHEL (009),119620284.00,969357.00,6632020.00,49740.00,98616784.00,98447284.00,738355.00,169500,2119,,,,,100000.00,750.00,14271480.00,178394.00,0.00,0.00,337,191
FY 2016-17,010,BETHLEHEM (010),14141951.00,113965.00,613000.00,4598.00,13228951.00,11648951.00,87367.00,1580000,19750,,,,,300000.00,2250.00,0.00,0.00,0.00,0.00,50,36
FY 2016-17,011,BLOOMFIELD (011),104198642.00,926611.00,13700490.00,102754.00,61335904.00,61335904.00,460019.00,0,0,,,,,138000.00,1035.00,29024248.00,362803.00,0.00,0.00,314,214
FY 2016-17,012,BOLTON (012),19704979.00,154802.00,777000.00,5828.00,17429979.00,17429979.00,130725.00,0,0,,,,,95000.00,713.00,1403000.00,17538.00,0.00,0.00,73,55
FY 2016-17,013,BOZRAH (013),7653829.00,62054.00,561500.00,4211.00,6162329.00,6162329.00,46217.00,0,0,,,,,0.00,0.00,930000.00,11625.00,0.00,0.00,34,42
FY 2016-17,014,BRANFORD (014),147972086.00,1162224.00,5647600.00,42357.00,134071356.00,129609556.00,972072.00,4461800,55773,,,,,1264577.00,9484.00,6024776.00,75310.00,963776.00,7228.00,506,372
FY 2016-17,015,BRIDGEPORT (015),267935411.00,2346475.00,5588052.00,41910.00,174308477.00,171381810.00,1285364.00,2926667,36583,,,,,22863500.00,171476.00,64465241.00,805816.00,710141.00,5326.00,1346,1089
FY 2016-17,016,BRIDGEWATER (016),15929432.00,125171.00,605000.00,4538.00,15324432.00,14184432.00,106383.00,1140000,14250,,,,,0.00,0.00,0.00,0.00,0.00,0.00,40,22
FY 2016-17,017,BRISTOL (017),168617556.00,1347282.00,4705495.00,35291.00,139622213.00,139622213.00,1047167.00,0,0,,,,,7607900.00,57059.00,16530000.00,206625.00,151948.00,1140.00,874,610
FY 2016-17,018,BROOKFIELD (018),132275289.00,1087499.00,3118006.00,23385.00,111881983.00,109335483.00,820016.00,2546500,31831,,,,,735000.00,5513.00,16540300.00,206754.00,0.00,0.00,350,194
